run_name,dataset,detector,threshold,n,n_fail,base_rate,aurc,flagged,k,recall,precision,residual_risk
full_ft_seed0,cbis_ddsm,iou_pred,0.5,362,220,0.6077348066298343,0.4149377512626144,0.1,37,0.16363636363636364,0.972972972972973,0.5661538461538461
full_ft_seed0,cbis_ddsm,iou_pred,0.5,362,220,0.6077348066298343,0.4149377512626144,0.2,73,0.30454545454545456,0.9178082191780822,0.5294117647058824
full_ft_seed0,cbis_ddsm,iou_pred,0.5,362,220,0.6077348066298343,0.4149377512626144,0.3,109,0.44545454545454544,0.8990825688073395,0.48221343873517786
full_ft_seed0,cbis_ddsm,iou_pred,0.5,362,220,0.6077348066298343,0.4149377512626144,0.5,181,0.6772727272727272,0.8232044198895028,0.39226519337016574
lora_encoder_only_r28_all_seed0,busi,drift,0.5,647,34,0.05255023183925812,0.06830007733432764,0.1,65,0.0,0.0,0.058419243986254296
lora_encoder_only_r28_all_seed0,busi,drift,0.5,647,34,0.05255023183925812,0.06830007733432764,0.2,130,0.058823529411764705,0.015384615384615385,0.061895551257253385
lora_encoder_only_r28_all_seed0,busi,drift,0.5,647,34,0.05255023183925812,0.06830007733432764,0.3,195,0.11764705882352941,0.020512820512820513,0.06637168141592921
lora_encoder_only_r28_all_seed0,busi,drift,0.5,647,34,0.05255023183925812,0.06830007733432764,0.5,324,0.20588235294117646,0.021604938271604937,0.08359133126934984
lora_encoder_only_r28_all_seed0,busi,iou_pred,0.5,647,34,0.05255023183925812,0.007971684776960477,0.1,65,0.5882352941176471,0.3076923076923077,0.024054982817869417
lora_encoder_only_r28_all_seed0,busi,iou_pred,0.5,647,34,0.05255023183925812,0.007971684776960477,0.2,130,0.8235294117647058,0.2153846153846154,0.01160541586073501
lora_encoder_only_r28_all_seed0,busi,iou_pred,0.5,647,34,0.05255023183925812,0.007971684776960477,0.3,195,0.9117647058823529,0.15897435897435896,0.00663716814159292
lora_encoder_only_r28_all_seed0,busi,iou_pred,0.5,647,34,0.05255023183925812,0.007971684776960477,0.5,324,0.9705882352941176,0.10185185185185185,0.0030959752321981426
lora_encoder_only_r28_all_seed0,cbis_ddsm,drift,0.5,362,219,0.6049723756906077,0.7185226236648274,0.1,37,0.0867579908675799,0.5135135135135135,0.6153846153846154
lora_encoder_only_r28_all_seed0,cbis_ddsm,drift,0.5,362,219,0.6049723756906077,0.7185226236648274,0.2,73,0.1552511415525114,0.4657534246575342,0.6401384083044983
lora_encoder_only_r28_all_seed0,cbis_ddsm,drift,0.5,362,219,0.6049723756906077,0.7185226236648274,0.3,109,0.2374429223744292,0.47706422018348627,0.6600790513833992
lora_encoder_only_r28_all_seed0,cbis_ddsm,drift,0.5,362,219,0.6049723756906077,0.7185226236648274,0.5,181,0.4200913242009132,0.5082872928176796,0.7016574585635359
lora_encoder_only_r28_all_seed0,cbis_ddsm,iou_pred,0.5,362,219,0.6049723756906077,0.42945857079826644,0.1,37,0.1506849315068493,0.8918918918918919,0.5723076923076923
lora_encoder_only_r28_all_seed0,cbis_ddsm,iou_pred,0.5,362,219,0.6049723756906077,0.42945857079826644,0.2,73,0.3013698630136986,0.9041095890410958,0.5294117647058824
lora_encoder_only_r28_all_seed0,cbis_ddsm,iou_pred,0.5,362,219,0.6049723756906077,0.42945857079826644,0.3,109,0.4200913242009132,0.8440366972477065,0.5019762845849802
lora_encoder_only_r28_all_seed0,cbis_ddsm,iou_pred,0.5,362,219,0.6049723756906077,0.42945857079826644,0.5,181,0.6438356164383562,0.7790055248618785,0.430939226519337
