method,training,dataset,perturb_max_px,dice_mean_seeds,dice_std_seeds,n_seeds,seeds
full_ft,rand100,isic2018_test,200,0.8393,0.0231,3,"0,1,2"
full_ft,rand100,ph2,0,0.9452,0.0043,3,"0,1,2"
full_ft,rand100,ph2,20,0.9396,0.0034,3,"0,1,2"
full_ft,rand100,ph2,50,0.929,0.0034,3,"0,1,2"
full_ft,rand100,ph2,100,0.9015,0.0077,3,"0,1,2"
full_ft,rand100,ph2,200,0.8633,0.0224,3,"0,1,2"
lora,pm=0,busi,0,0.7801,0.0024,3,"0,1,2"
lora,pm=0,busi,20,0.754,0.0022,3,"0,1,2"
lora,pm=0,busi,50,0.6975,0.0018,3,"0,1,2"
lora,pm=0,busi,100,0.6186,0.0036,3,"0,1,2"
lora,pm=0,busi,200,0.4903,0.0056,3,"0,1,2"
lora,pm=0,cbis_ddsm,0,0.5094,0.0101,3,"0,1,2"
lora,pm=0,cbis_ddsm,20,0.4782,0.0155,3,"0,1,2"
lora,pm=0,cbis_ddsm,50,0.3883,0.0132,3,"0,1,2"
lora,pm=0,cbis_ddsm,100,0.2703,0.0138,3,"0,1,2"
lora,pm=0,cbis_ddsm,200,0.1467,0.004,3,"0,1,2"
lora,pm=0,isic2018_test,0,0.9556,0.001,3,"0,1,2"
lora,pm=0,isic2018_test,20,0.9416,0.0017,3,"0,1,2"
lora,pm=0,isic2018_test,50,0.904,0.0038,3,"0,1,2"
lora,pm=0,isic2018_test,100,0.8522,0.0075,3,"0,1,2"
lora,pm=0,isic2018_test,200,0.7867,0.0123,3,"0,1,2"
lora,pm=0,ph2,0,0.957,0.0013,3,"0,1,2"
lora,pm=0,ph2,20,0.9384,0.0014,3,"0,1,2"
lora,pm=0,ph2,50,0.9045,0.0039,3,"0,1,2"
lora,pm=0,ph2,100,0.86,0.009,3,"0,1,2"
lora,pm=0,ph2,200,0.8197,0.0145,3,"0,1,2"
lora,pm=20,busi,0,0.7745,0.032,3,"0,1,2"
lora,pm=20,busi,20,0.7586,0.0338,3,"0,1,2"
lora,pm=20,busi,50,0.7162,0.0347,3,"0,1,2"
lora,pm=20,busi,100,0.6347,0.0299,3,"0,1,2"
lora,pm=20,busi,200,0.501,0.0169,3,"0,1,2"
lora,pm=20,cbis_ddsm,0,0.437,0.0949,3,"0,1,2"
lora,pm=20,cbis_ddsm,20,0.4193,0.0825,3,"0,1,2"
lora,pm=20,cbis_ddsm,50,0.358,0.0616,3,"0,1,2"
lora,pm=20,cbis_ddsm,100,0.2472,0.0294,3,"0,1,2"
lora,pm=20,cbis_ddsm,200,0.1327,0.0082,3,"0,1,2"
lora,pm=20,isic2018_test,0,0.9492,0.0016,3,"0,1,2"
lora,pm=20,isic2018_test,20,0.9392,0.0008,3,"0,1,2"
lora,pm=20,isic2018_test,50,0.9114,0.0045,3,"0,1,2"
lora,pm=20,isic2018_test,100,0.8629,0.0092,3,"0,1,2"
lora,pm=20,isic2018_test,200,0.7974,0.0154,3,"0,1,2"
lora,pm=20,ph2,0,0.9511,0.0011,3,"0,1,2"
lora,pm=20,ph2,20,0.9379,0.0028,3,"0,1,2"
lora,pm=20,ph2,50,0.9128,0.0061,3,"0,1,2"
lora,pm=20,ph2,100,0.8717,0.0086,3,"0,1,2"
lora,pm=20,ph2,200,0.8338,0.008,3,"0,1,2"
lora,rand100,busi,0,0.7467,0.0318,3,"0,1,2"
lora,rand100,busi,20,0.7396,0.036,3,"0,1,2"
lora,rand100,busi,50,0.7155,0.0404,3,"0,1,2"
lora,rand100,busi,100,0.6542,0.0446,3,"0,1,2"
lora,rand100,busi,200,0.4965,0.0323,3,"0,1,2"
lora,rand100,cbis_ddsm,0,0.2143,0.0343,3,"0,1,2"
lora,rand100,cbis_ddsm,20,0.2244,0.0203,3,"0,1,2"
lora,rand100,cbis_ddsm,50,0.2146,0.0202,3,"0,1,2"
lora,rand100,cbis_ddsm,100,0.1676,0.0301,3,"0,1,2"
lora,rand100,cbis_ddsm,200,0.0949,0.0198,3,"0,1,2"
lora,rand100,isic2018_test,0,0.9411,0.0023,3,"0,1,2"
lora,rand100,isic2018_test,20,0.9366,0.0039,3,"0,1,2"
lora,rand100,isic2018_test,50,0.9256,0.0057,3,"0,1,2"
lora,rand100,isic2018_test,100,0.9018,0.0058,3,"0,1,2"
lora,rand100,isic2018_test,200,0.8478,0.0016,3,"0,1,2"
lora,rand100,ph2,0,0.9496,0.0038,3,"0,1,2"
lora,rand100,ph2,20,0.9442,0.0051,3,"0,1,2"
lora,rand100,ph2,50,0.9329,0.0057,3,"0,1,2"
lora,rand100,ph2,100,0.9096,0.0047,3,"0,1,2"
lora,rand100,ph2,200,0.8769,0.004,3,"0,1,2"
vpt_deep,pm=0,busi,0,0.8017,0.0046,3,"0,1,2"
vpt_deep,pm=0,busi,20,0.7842,0.007,3,"0,1,2"
vpt_deep,pm=0,busi,50,0.7243,0.0104,3,"0,1,2"
vpt_deep,pm=0,busi,100,0.6288,0.014,3,"0,1,2"
vpt_deep,pm=0,busi,200,0.4824,0.0128,3,"0,1,2"
vpt_deep,pm=0,cbis_ddsm,0,0.5725,0.009,3,"0,1,2"
vpt_deep,pm=0,cbis_ddsm,20,0.5102,0.0109,3,"0,1,2"
vpt_deep,pm=0,cbis_ddsm,50,0.3904,0.006,3,"0,1,2"
vpt_deep,pm=0,cbis_ddsm,100,0.2582,0.0054,3,"0,1,2"
vpt_deep,pm=0,cbis_ddsm,200,0.1368,0.004,3,"0,1,2"
vpt_deep,pm=0,isic2018_test,0,0.947,0.0002,3,"0,1,2"
vpt_deep,pm=0,isic2018_test,20,0.9343,0.0013,3,"0,1,2"
