run_name,dataset,detector,threshold,n,n_fail,base_rate,aurc,flagged,k,recall,precision,residual_risk
lora_seed0,dmid,iou_pred,0.5,269,175,0.6505576208178439,0.5985225713071871,0.2,54,0.22285714285714286,0.7222222222222222,0.6325581395348837
lora_seed0,dmid,iou_pred,0.5,269,175,0.6505576208178439,0.5985225713071871,0.3,81,0.34285714285714286,0.7407407407407407,0.6117021276595744
lora_seed0,dmid,iou_pred,0.5,269,175,0.6505576208178439,0.5985225713071871,0.5,135,0.5771428571428572,0.7481481481481481,0.5522388059701493
lora_encoder_only_r28_all_seed0,dmid,drift,0.5,269,52,0.19330855018587362,0.10510315853196259,0.1,27,0.19230769230769232,0.37037037037037035,0.17355371900826447
lora_encoder_only_r28_all_seed0,dmid,drift,0.5,269,52,0.19330855018587362,0.10510315853196259,0.2,54,0.40384615384615385,0.3888888888888889,0.14418604651162792
lora_encoder_only_r28_all_seed0,dmid,drift,0.5,269,52,0.19330855018587362,0.10510315853196259,0.3,81,0.5,0.32098765432098764,0.13829787234042554
lora_encoder_only_r28_all_seed0,dmid,drift,0.5,269,52,0.19330855018587362,0.10510315853196259,0.5,135,0.75,0.28888888888888886,0.09701492537313433
lora_encoder_only_r28_all_seed0,dmid,iou_pred,0.5,269,52,0.19330855018587362,0.3082668391525547,0.1,27,0.019230769230769232,0.037037037037037035,0.21074380165289255
lora_encoder_only_r28_all_seed0,dmid,iou_pred,0.5,269,52,0.19330855018587362,0.3082668391525547,0.2,54,0.038461538461538464,0.037037037037037035,0.23255813953488372
lora_encoder_only_r28_all_seed0,dmid,iou_pred,0.5,269,52,0.19330855018587362,0.3082668391525547,0.3,81,0.07692307692307693,0.04938271604938271,0.2553191489361702
lora_encoder_only_r28_all_seed0,dmid,iou_pred,0.5,269,52,0.19330855018587362,0.3082668391525547,0.5,135,0.1346153846153846,0.05185185185185185,0.3358208955223881
full_ft_seed0,dmid,drift,0.5,269,51,0.1895910780669145,0.1486958741092754,0.1,27,0.1568627450980392,0.2962962962962963,0.17768595041322313
full_ft_seed0,dmid,drift,0.5,269,51,0.1895910780669145,0.1486958741092754,0.2,54,0.27450980392156865,0.25925925925925924,0.17209302325581396
full_ft_seed0,dmid,drift,0.5,269,51,0.1895910780669145,0.1486958741092754,0.3,81,0.39215686274509803,0.24691358024691357,0.16489361702127658
full_ft_seed0,dmid,drift,0.5,269,51,0.1895910780669145,0.1486958741092754,0.5,135,0.5882352941176471,0.2222222222222222,0.15671641791044777
full_ft_seed0,dmid,iou_pred,0.5,269,51,0.1895910780669145,0.28489464132395875,0.1,27,0.0392156862745098,0.07407407407407407,0.2024793388429752
full_ft_seed0,dmid,iou_pred,0.5,269,51,0.1895910780669145,0.28489464132395875,0.2,54,0.058823529411764705,0.05555555555555555,0.22325581395348837
full_ft_seed0,dmid,iou_pred,0.5,269,51,0.1895910780669145,0.28489464132395875,0.3,81,0.09803921568627451,0.06172839506172839,0.24468085106382978
full_ft_seed0,dmid,iou_pred,0.5,269,51,0.1895910780669145,0.28489464132395875,0.5,135,0.21568627450980393,0.08148148148148149,0.29850746268656714
